,p,td,ts,o,tu,datetime,lx,ly
1453,6.812614918,245.9551392,,87.30905914,2.070409298,2023-12-25 16:33:01,0.0,0.0
1454,6.939384937,246.4640808,,85.68608093,2.066114426,2023-12-25 16:33:08,0.0,0.0
1455,6.938530922,246.891983,,85.93425751,2.071835995,2023-12-25 16:33:15,0.0,0.0
1456,6.921437263,246.9590149,,85.19126129,2.074229956,2023-12-25 16:33:22,0.0,0.0
1457,6.898326397,247.1883392,,84.63358307,2.074744701,2023-12-25 16:33:29,0.0,0.0
1458,6.875350952,246.8807373,,86.35330963,2.080022812,2023-12-25 16:33:36,0.0,0.0
1459,6.830803871,246.2767029,,87.9392395,2.080128193,2023-12-25 16:33:43,0.0,0.0
1460,6.799386978,247.0905151,,88.46629333,2.079635859,2023-12-25 16:33:50,0.0,0.0
1461,6.770664692,247.3421478,,89.1657486,2.078548431,2023-12-25 16:33:57,0.0,0.0
1462,6.754565716,247.4848022,,89.50746918,2.072802782,2023-12-25 16:34:05,0.0,0.0
1463,6.718598843,247.915451,,89.09806824,2.081474543,2023-12-25 16:34:12,0.0,0.0
1464,6.715998173,248.4915466,,89.99258423,2.081877232,2023-12-25 16:34:19,0.0,0.0
1465,6.679624081,248.6790314,,90.10381317,2.081441879,2023-12-25 16:34:26,0.0,0.0
1466,6.676819801,248.550354,,89.97808838,2.077421188,2023-12-25 16:34:33,0.0,0.0
1467,6.648170471,248.4272308,,90.89034271,2.080458641,2023-12-25 16:34:40,0.0,0.0
1468,6.645367146,248.2761993,,91.09505463,2.081683874,2023-12-25 16:34:47,0.0,0.0
1469,6.642736435,248.2510681,,90.82426453,2.077969074,2023-12-25 16:34:54,0.0,0.0
1470,6.634254932,248.0552063,,92.15393066,2.072561264,2023-12-25 16:35:01,0.0,0.0
1471,5.794325352,1133.161377,,105.7520294,2.076131105,2023-12-25 16:35:08,0.0,0.0
1472,5.494801998,1149.416626,,108.0487518,2.075921059,2023-12-25 16:35:15,0.0,0.0
1473,6.094050884,1149.16394,,101.4438934,2.078628778,2023-12-25 16:35:22,0.0,0.0
1474,6.060957432,1149.490356,,104.6479874,2.079837799,2023-12-25 16:35:29,0.0,0.0
1475,6.007246494,1148.786621,,103.603569,2.075550318,2023-12-25 16:35:36,0.0,0.0
1476,6.055588245,1149.261108,,102.0660095,2.076920986,2023-12-25 16:35:43,0.0,0.0
1477,6.094940662,1149.023193,,103.5633011,2.080031157,2023-12-25 16:35:50,0.0,0.0
1478,6.093333721,1146.099731,,102.4367218,2.076896429,2023-12-25 16:35:57,0.0,0.0
1479,6.057606697,1148.579346,,104.5593414,2.080934048,2023-12-25 16:36:04,0.0,0.0
1480,6.083723068,1149.105225,,103.2232208,2.08098197,2023-12-25 16:36:11,0.0,0.0
1481,6.036991596,1149.512695,,103.2087021,2.071820021,2023-12-25 16:36:18,0.0,0.0
1482,6.062360287,1149.290527,,105.7375107,2.075188398,2023-12-25 16:36:25,0.0,0.0
1483,6.069197178,1150.595703,,104.8236542,2.055113554,2023-12-25 16:36:32,0.0,0.0
1484,6.073844433,1150.491333,,103.5632782,2.067128897,2023-12-25 16:36:39,0.0,0.0
1485,6.103316784,1150.343262,,104.2950058,2.05442977,2023-12-25 16:36:46,0.0,0.0
1486,6.106736183,1146.276489,,105.4683609,2.063792467,2023-12-25 16:36:53,0.0,0.0
1487,6.115314007,1152.369873,,107.412117,2.059070826,2023-12-25 16:37:01,0.0,0.0
1488,6.881985664,1152.578369,,100.293129,2.038239241,2023-12-25 16:37:08,0.0,0.0
1489,7.250121117,1152.065674,,86.46938324,2.028625727,2023-12-25 16:37:15,0.0,0.0
1490,7.469472408,1152.333008,,82.94615173,2.024088383,2023-12-25 16:37:22,0.0,0.0
1491,8.099899292,1151.998657,,89.6927948,2.023927212,2023-12-25 16:37:29,0.0,0.0
1492,8.356647491,1153.098633,,88.77735901,2.01908493,2023-12-25 16:37:36,0.0,0.0
1493,8.350358009,1153.277344,,87.9328537,1.999284863,2023-12-25 16:37:43,0.0,0.0
1494,8.33695507,1150.365356,,87.82484436,1.99920392,2023-12-25 16:37:50,0.0,0.0
1495,8.271315575,1152.883179,,88.56943512,2.011654139,2023-12-25 16:37:57,0.0,0.0
1496,8.273435593,1152.467285,,87.85384369,1.998099566,2023-12-25 16:38:04,0.0,0.0
1497,8.255521774,1152.689819,,88.68065643,1.997148871,2023-12-25 16:38:11,0.0,0.0
1498,8.233606339,1152.518799,,87.80711365,1.984464884,2023-12-25 16:38:18,0.0,0.0
1499,8.209331512,1152.221558,,90.40196228,2.002338648,2023-12-25 16:38:25,0.0,0.0
1500,8.178290367,1151.901733,,89.00462341,2.002966881,2023-12-25 16:38:32,0.0,0.0
1501,8.17565918,1151.685913,,88.01825714,1.992483377,2023-12-25 16:38:39,0.0,0.0
1502,8.15692234,1150.090576,,90.5293045,1.996793628,2023-12-25 16:38:46,0.0,0.0
1503,8.106769562,1150.899048,,87.30587006,1.987696171,2023-12-25 16:38:53,0.0,0.0
1504,8.104989052,1151.003418,,89.46559906,1.983546019,2023-12-25 16:39:00,0.0,0.0
1505,4.734871864,1152.102539,,27.83494949,1.96968472,2023-12-25 16:39:07,0.0,0.0
1506,3.793948174,1152.392822,,52.28960037,1.988324881,2023-12-25 16:39:14,0.0,0.0
1507,3.852888584,1152.199097,,46.33106613,1.972417474,2023-12-25 16:39:21,0.0,0.0
1508,3.869366646,1152.82373,,49.4706955,1.93519485,2023-12-25 16:39:28,0.0,0.0
1509,3.82738471,1152.689575,,49.47392654,1.933252811,2023-12-25 16:39:35,0.0,0.0
1510,11.41692162,1148.25293,,94.9147644,1.934598446,2023-12-25 16:39:42,0.0,0.0
1511,3.384684801,1146.9198,,71.1725235,1.933647037,2023-12-25 16:39:50,0.0,0.0
1512,3.433265924,1148.379028,,75.11314392,1.931472182,2023-12-25 16:39:57,0.0,0.0
1513,3.427828789,1150.921875,,76.89893341,1.913460732,2023-12-25 16:40:04,0.0,0.0
1514,3.358906746,1151.76001,,79.29082489,1.921624422,2023-12-25 16:40:11,0.0,0.0
1515,3.226800919,1151.240601,,82.31918335,1.910994768,2023-12-25 16:40:18,0.0,0.0
1516,3.152272701,1150.943848,,85.40885925,1.917255759,2023-12-25 16:40:25,0.0,0.0
1517,3.102735043,1150.906738,,86.37107086,1.916143894,2023-12-25 16:40:32,0.0,0.0
1518,3.028136969,1145.065063,,87.25269318,1.912508965,2023-12-25 16:40:39,0.0,0.0
1519,3.005434513,1150.321533,,89.1367569,1.905199528,2023-12-25 16:40:46,0.0,0.0
1520,2.96013689,1150.7146,,90.42613983,1.918327928,2023-12-25 16:40:53,0.0,0.0
1521,2.946632385,1150.632935,,90.90810394,1.899518251,2023-12-25 16:41:00,0.0,0.0
1522,2.913163424,1150.210205,,91.21105957,1.907753706,2023-12-25 16:41:07,0.0,0.0
1523,2.899759531,1150.150757,,91.643013,1.895022631,2023-12-25 16:41:14,0.0,0.0
1524,2.896033287,1151.574463,,92.50202942,1.325109005,2023-12-25 16:41:21,0.0,0.0
1525,2.896785736,1151.671021,,92.42790222,1.198459864,2023-12-25 16:41:28,0.0,0.0
1526,2.894940138,1151.678711,,91.87509918,1.076637745,2023-12-25 16:41:35,0.0,0.0
1527,2.888753176,1151.678467,,92.68254089,0.997429609,2023-12-25 16:41:42,0.0,0.0
1528,2.923454046,1151.485352,,91.8396225,1.035410285,2023-12-25 16:41:49,0.0,0.0
1529,2.907180309,1151.50769,,91.78159332,1.056806087,2023-12-25 16:41:56,0.0,0.0
1530,2.895589828,1149.757935,,91.24012756,1.131323457,2023-12-25 16:42:03,0.0,0.0
1531,2.941265821,1141.104858,,90.12639618,1.159964085,2023-12-25 16:42:10,0.0,0.0
1532,2.929367304,1141.355225,,90.37456512,1.155660748,2023-12-25 16:42:17,0.0,0.0
1533,2.912034512,1141.031128,,90.58249664,1.190442085,2023-12-25 16:42:24,0.0,0.0
1534,2.901298285,1137.001709,,90.23274994,1.276611686,2023-12-25 16:42:31,0.0,0.0
1535,2.887247801,1142.217041,,91.11115265,1.213086605,2023-12-25 16:42:38,0.0,0.0
1536,2.873060226,1141.782593,,91.18527985,1.28002882,2023-12-25 16:42:46,0.0,0.0
1537,2.861060619,1141.510376,,91.38513947,1.320765495,2023-12-25 16:42:53,0.0,0.0
1538,2.866873264,1141.650269,,91.31745148,1.297911882,2023-12-25 16:43:00,0.0,0.0
