Unnamed: 0,p,td,ts,o,tu,datetime,lx,ly
1683,12.65427876,1137.823853,,1315.535522,2539.905938,12/25/2023 18:14,0,0
1684,12.48643875,1137.037964,,1316.405884,2546.57456,12/25/2023 18:14,0,0
1685,12.36870766,1136.495361,,1316.019043,2511.747217,12/25/2023 18:14,0,0
1686,12.48372746,1136.106445,,1316.010986,2500.047519,12/25/2023 18:14,0,0
1687,12.43173122,1137.119141,,1316.010986,2649.50274,12/25/2023 18:15,0,0
1688,13.10774231,1137.47168,,1314.906982,2648.798306,12/25/2023 18:15,0,0
1689,12.9401741,1137.178223,,1314.560425,2647.894893,12/25/2023 18:15,0,0
1690,12.64688683,1137.507935,,1313.996338,2649.213341,12/25/2023 18:15,0,0
1691,12.61335564,1133.022339,,1308.983887,2650.091389,12/25/2023 18:15,0,0
1692,12.54798985,1137.816528,,1309.411011,2648.701792,12/25/2023 18:15,0,0
1693,12.33784103,1138.566162,,1315.753174,2649.608064,12/25/2023 18:15,0,0
1694,12.15493298,1138.117432,,1314.141357,2649.820153,12/25/2023 18:15,0,0
1695,11.76398563,1137.479126,,1317.840332,2649.778296,12/25/2023 18:16,0,0
1696,11.73220158,1139.668945,,1292.463745,2649.962347,12/25/2023 18:16,0,0
1697,11.22164345,1140.095337,,1310.797119,2648.174613,12/25/2023 18:16,0,0
1698,10.3934536,1139.440552,,1299.942139,2647.674808,12/25/2023 18:16,0,0
1699,10.26828384,1140.419189,,1233.813232,2649.697577,12/25/2023 18:16,0,0
1700,10.26534462,1140.190796,,1187.234497,2650.090033,12/25/2023 18:16,0,0
1701,10.28233719,1139.278687,,1155.193481,2648.481868,12/25/2023 18:16,0,0
1702,10.30962658,1139.036499,,1159.682007,2649.641059,12/25/2023 18:16,0,0
1703,10.22964859,1138.566162,,1142.243164,2648.922267,12/25/2023 18:16,0,0
